,acc,loss,val_acc,val_loss
0,0.3146400000190735,1.936689486656189,0.2954,2.184146998596191
1,0.5034399999809265,1.3755378605270385,0.4747,1.520123475074768
2,0.5894,1.1482170025253295,0.541,1.3595515075683593
3,0.6359999999618531,1.0205235159301758,0.6276,1.0416301503181458
4,0.67042,0.9282909276008606,0.6821,0.888248038482666
5,0.6954600000190735,0.8549676879692077,0.6682,0.9817117653846741
6,0.7168800000190735,0.800093664855957,0.7137,0.802637310886383
7,0.7348400000190735,0.754001823272705,0.7047,0.859768743610382
8,0.7490600000190735,0.7103228847885131,0.7294,0.7810439029693603
9,0.760719999961853,0.6808457409477234,0.6945,0.9291150539398193
10,0.7721399999809265,0.6517722910690308,0.753,0.7287715849876404
11,0.77586,0.6366262660598755,0.7711,0.6551665803909302
12,0.7846799999809265,0.6126509742927552,0.7676,0.6805877248764038
13,0.7940999999809265,0.586007517080307,0.77,0.6824268709659577
14,0.797260000038147,0.5812217021751404,0.7528,0.7443886679649353
15,0.804420000038147,0.5597082956314087,0.784,0.6391730795383453
16,0.806880000038147,0.5470428385543823,0.7845,0.636816196012497
17,0.8114799999809265,0.5343100231838226,0.7803,0.6446123741149903
18,0.81816,0.5201542590522766,0.8067,0.567800368976593
19,0.821019999961853,0.5052138566398621,0.7901,0.6119694120407104
20,0.825399999961853,0.5015021450614929,0.7804,0.6548132915496826
21,0.8309200000190735,0.4831459126281738,0.8016,0.5860748651504517
22,0.831979999961853,0.47523004194259644,0.7994,0.5924452595710754
23,0.836219999961853,0.4679127113342285,0.7772,0.6536658654212951
24,0.8377999999618531,0.4606947766971588,0.8058,0.5785421607971192
25,0.841960000038147,0.44924319190979006,0.7832,0.6626734285831452
26,0.844080000038147,0.4407917818260193,0.8093,0.5782471040725708
27,0.8459799999809265,0.43353106322288515,0.7856,0.6538422287940979
28,0.8492,0.42866722455978395,0.7988,0.5982823840141296
29,0.847339999961853,0.42565945693969726,0.8012,0.5990327049255371
30,0.8534399999809266,0.4143710894393921,0.7921,0.6286877401351929
31,0.855660000038147,0.40793526856422424,0.8153,0.5564931823253632
32,0.85788,0.4035325247859955,0.8139,0.5482093278884888
33,0.860160000038147,0.39738119859695437,0.8082,0.5838428692817688
34,0.8609199999809265,0.38968184768676756,0.8088,0.5824091230392456
35,0.863259999961853,0.38342112419128416,0.8124,0.5666198641777038
36,0.8635400000190735,0.38320679063797,0.8231,0.535465105342865
37,0.8672400000381469,0.3755405267906189,0.8285,0.5163153968811035
38,0.86794,0.371606691198349,0.82,0.5622614093780518
39,0.870480000038147,0.3656221488189697,0.8149,0.571673181438446
40,0.87,0.3646531294441223,0.8121,0.586144561290741
41,0.8741000000381469,0.3578759657096863,0.8227,0.55680578250885
42,0.8719000000381469,0.36061172609329223,0.8232,0.5495949686288834
43,0.8755000000190735,0.34972660345077516,0.8086,0.5964719719409942
44,0.8756800000381469,0.34778655683517457,0.8256,0.5336362623214722
45,0.8773399999618531,0.34370349465370176,0.8085,0.6041881434440612
46,0.87856,0.3391686709022522,0.811,0.6262341090202331
47,0.8813000000190735,0.3350156142616272,0.8163,0.5702683818817139
48,0.880860000038147,0.32993318437576297,0.8048,0.6371788068771362
49,0.8812600000190735,0.3314419532585144,0.8254,0.5306433428287506
